stem,freq,rank,best_lang,best_form,best_gloss,best_cat,confidence,syriac_skel,syriac_reading,status
ol,266,1,latin,et,and,FUNC,0.95,l,l-,matched
shed,225,2,latin,flos,flower,ING,1.0,sd,-,matched
ched,212,3,occitan,flor,flower,ING,1.0,kd,-,matched
qokai,161,4,latin,herba,herb,ING,1.0,wk,w-ki-,matched
qoked,158,5,latin,radix,root,ING,1.0,wkd,-,matched
qoka,151,6,latin,quod,which,FUNC,0.95,wk,w-ki-,matched
qokeed,151,7,latin,folium,leaf,ING,1.0,wkd,-,matched
da,120,8,latin,de,of,FUNC,0.95,d,d-,matched
qo,118,9,latin,si,if,FUNC,0.95,w,wa-,matched
she,87,10,latin,cum,with,FUNC,0.95,s,-,matched
qokaii,82,11,occitan,fuelha,leaf,ING,1.0,wk,w-ki-,matched
che,81,12,latin,non,not,FUNC,0.95,k,ki-,matched
daii,81,13,syriac,d,d-,SYR,0.9,d,d-,matched
qokee,78,14,latin,semen,seed,ING,1.0,wk,w-ki-,matched
or,76,15,latin,in,in,FUNC,0.95,r,-,matched
qok,66,16,latin,sed,but,FUNC,0.95,wk,w-ki-,matched
lched,54,17,-,-,-,-,0.0,lkd,-,unmatched
so,51,18,occitan,de,of,FUNC,0.95,s,-,matched
oted,48,19,occitan,erba,herb,ING,1.0,td,-,matched
dy,47,20,occitan,si,if,FUNC,0.95,dy,-,matched
qoted,47,21,-,-,-,-,0.0,wtd,-,unmatched
okai,45,22,syriac,k,ki-,SYR,0.9,k,ki-,matched
cheo,44,23,syriac,k,ki-,SYR,0.9,k,ki-,matched
dai,43,24,latin,per,through,FUNC,0.95,d,d-,matched
oka,43,25,latin,est,is,FUNC,0.95,k,ki-,matched
chee,43,26,syriac,k,ki-,SYR,0.9,k,ki-,matched
sheed,43,27,-,-,-,-,0.0,sd,-,unmatched
qota,42,28,-,-,-,-,0.0,wt,-,unmatched
qoteed,42,29,latin,venter,belly,ANAT,0.85,wtd,-,matched
ota,41,30,latin,aut,or,FUNC,0.95,t,-,matched
oked,41,31,occitan,o,or,FUNC,0.7,kd,-,matched
aii,39,32,occitan,es,is,FUNC,0.8,,-,matched
okeed,37,33,-,-,-,-,0.0,kd,-,unmatched
sa,37,34,occitan,ni,nor,FUNC,0.95,s,-,matched
do,36,35,occitan,lo,the-m,FUNC,0.95,d,d-,matched
sheo,36,36,-,-,-,-,0.0,s,-,unmatched
qoke,36,37,-,-,-,-,0.0,wk,w-ki-,unmatched
lo,35,38,occitan,la,the-f,FUNC,0.95,l,l-,matched
al,35,39,latin,ad,to,FUNC,0.95,l,l-,matched
chckh,34,40,-,-,-,-,0.0,kkk,-,unmatched
okaii,31,41,syriac,k,ki-,SYR,0.9,k,ki-,matched
olkai,30,42,-,-,-,-,0.0,lk,l-ki-,unmatched
ar,29,43,latin,ex,from,FUNC,0.95,r,-,matched
qot,28,44,latin,vel,or,FUNC,0.95,wt,-,matched
shee,28,45,-,-,-,-,0.0,s,-,unmatched
saii,28,46,-,-,-,-,0.0,s,-,unmatched
olched,27,47,-,-,-,-,0.0,lkd,-,unmatched
qoko,25,48,-,-,-,-,0.0,wk,w-ki-,unmatched
chcth,24,49,-,-,-,-,0.0,ktk,-,unmatched
olo,24,50,syriac,l,l-,SYR,0.9,l,l-,matched
sai,23,51,latin,sub,under,FUNC,0.95,s,-,matched
cheed,23,52,-,-,-,-,0.0,kd,-,unmatched
otai,23,53,-,-,-,-,0.0,t,-,unmatched
chd,23,54,occitan,non,not,FUNC,0.95,kd,-,matched
