eva,decoded,language
kchsy,BASILICUM,latin
kooiin,BORAGO,latin
pchooiin,MANDRAGORA,latin
fochor,JACEA,latin
poldchody,VERBENA,latin
poeeaiin,ARUM,latin
pody,PAEONIA,latin
tchy,SENECIO,latin
daiin,OLEUM,latin
chol,DAT,latin
chedy,DEUS,latin
shedy,HEUS,latin
ol,FUIT,latin
chy,DIES,latin
dy,ALIUS,latin
shol,HABET,latin
chal,DAT,latin
dchol,DICERE,latin
cheol,DEDIT,latin
keol,GERAT,latin
qokol,NOCET,latin
ey,ES,latin
or,OR,occitan
ky,AC,occitan
da,LA,latin
keody,BEN,occitan
tor,SED,latin
ty,SIC,latin
taiin,CUM,latin
kchy,BONUS,latin
dchy,LUCIS,latin
chody,ODORATUS,latin
do,ALBA,latin
shy,HIC,latin
kchdy,ACUTUS,latin
kor,GRADU,latin
tol,TERTIO,latin
tcho,SCABIE,latin
tody,CORTICE,latin
chaiin,DIEM,latin
chedaiin,DEUM,latin
oal,DOLOR,latin
pchaiin,EM,latin
pchy,ARIETE,latin
dar,DICIT,latin
dal,DICIT,latin
dam,DICERE,latin
kaiin,AM,latin
qo,NO,latin
aiin,AMARA,latin
ar,AD,latin
chey,DES,occitan
shey,HEC,occitan
al,AL,occitan
dol,LAEDIT,latin
kol,GRATIA,latin
cho,DEO,latin
dor,LUX,latin
okol,OPTAT,latin
qokeey,NOCIS,latin
qokey,NOCES,latin
qokeedy,NOCITIS,latin
cheey,DIS,latin
sheey,HIS,occitan
chor,DEA,latin
sho,HABE,occitan
kechy,GENS,latin
qokal,NOCAT,latin
chkeey,DICIS,latin
chdy,DATUS,latin
okaiin,FOCUM,latin
qol,NON,latin
dain,LAIN,occitan
keey,BIS,latin
okeey,FACIS,latin
qokedy,NOCETIS,latin
saiin,SUMMA,latin
otchol,LAUDAT,latin
oteey,LIS,latin
otaiin,LIMA,latin
qokar,NOCAR,occitan
qokaiin,NOCUM,latin
qoky,NOCS,latin
otar,LAR,latin
otal,LAUDAT,latin
